word,freq_rank
chump,0.21206
chunk,2.730468
churn,0.988395
chute,2.050475
cider,1.893982
cigar,6.412852
cinch,0.487613
circa,4.378522
civic,17.040966
civil,132.382625
clack,0.482298
claim,96.29849
clamp,4.988139
clang,0.765162
clank,0.330172
clash,7.979179
clasp,2.305896
class,315.009247
clean,62.297726
clear,265.488681
cleat,0.389958
cleft,6.641143
clerk,19.175553
click,46.139544
cliff,11.33927
climb,18.119308
cling,4.694282
clink,0.580528
cloak,7.340668
clock,27.312748
clone,3.406179
close,235.574618
cloth,31.45549
cloud,27.251198
clout,1.852912
clove,1.243669
clown,3.559191
cluck,0.305426
clued,0.093436
clump,2.201941
clung,6.353229
coach,18.820907
coast,71.790346
cobra,1.895225
cocoa,5.399028
colon,13.802918
color,114.425924
comet,3.396141
comfy,0.316614
comic,15.4382
comma,3.175029
conch,1.20291
condo,0.996723
conic,0.814288
copse,0.52524
coral,9.2777
corer,0.130286
corny,0.64778
couch,11.007063
cough,9.963373
could,45.43939
count,63.068715
coupe,1.022837
court,239.973395
coven,0.486478
cover,101.111155
covet,0.872746
covey,0.746663
cower,0.385996
coyly,0.430352
crack,22.990298
craft,22.535916
cramp,1.198287
crane,8.70819
crank,3.089146
crash,12.62888
crass,0.950316
crate,1.838508
crave,1.750821
crawl,5.181218
craze,1.54016
crazy,22.275452
creak,0.93717
cream,23.929652
credo,1.655257
creed,8.851319
creek,30.189165
creep,9.211559
creme,0.707512
crepe,1.012612
crept,6.770831
cress,0.470326
crest,10.651042
crick,1.298226
cried,45.330858
crier,0.528107
crime,67.908309
crimp,0.585547
crisp,5.83631
croak,0.535022
crock,0.612523
crone,0.792961
crony,0.366424
crook,3.418999
cross,151.019815
croup,1.167473
crowd,44.91359
crown,40.27037
crude,21.000146
cruel,17.774172
crumb,1.019535
crump,0.614076
crush,6.769502
crust,9.032542
crypt,1.757837
cubic,10.689532
cumin,0.692323
curio,0.448579
curly,3.944938
curry,3.630104
curse,11.796488
curve,67.9902
curvy,0.190515
cutie,0.157417
cyber,1.232791
cycle,79.059752
cynic,1.124205
daddy,13.649914
daily,121.055063
dairy,11.89419
daisy,4.865094
dally,0.718832
dance,57.826872
dandy,1.975056
datum,3.402396
daunt,0.310632
dealt,33.155273
death,320.536114
debar,0.218913
debit,2.321832
debug,1.960085
debut,3.93267
decal,0.229371
decay,21.843072
decor,2.575971
decoy,0.921639
decry,0.570832
defer,2.861003
deign,0.533895
deity,11.80735
delay,43.425486
delta,15.96668
delve,1.31002
demon,7.964627
demur,0.476479
denim,0.990407
dense,21.116773
depot,6.2489
depth,66.452122
derby,4.03818
deter,4.805991
detox,0.253518
deuce,0.785557
devil,24.602077
diary,27.105279
dicey,0.630089
digit,8.369083
dilly,0.344359
dimly,3.723143
diner,1.825144
dingo,0.326357
dingy,1.473839
diode,7.043011
dirge,0.658945
dirty,21.901576
disco,1.462644
ditch,7.556139
ditto,2.07202
ditty,0.430491
diver,2.528243
dizzy,3.584644
dodge,5.923406
dodgy,0.137489
dogma,5.880806
doing,195.792358
dolly,3.201896
donor,14.653358
donut,0.456061
dopey,0.224616
doubt,117.020822
dough,6.708815
dowdy,0.391939
dowel,0.94884
downy,0.924032
dowry,3.670606
dozen,30.278001
draft,33.612212
drain,16.743768
drake,5.69879
drama,39.948239
drank,14.554639
drape,1.061622
drawl,0.706588
drawn,90.561894
dread,9.179595
dream,69.597441
dress,47.969537
dried,25.190483
drier,2.452118
drift,16.219328
drill,13.366413
drink,60.413728
drive,88.675487
droit,3.579283
droll,0.712516
drone,1.351159
drool,0.344732
droop,0.961512
dross,0.644774
drove,37.142843
drown,3.539037
druid,0.697482
drunk,19.662381
dryer,2.358216
dryly,1.552521
duchy,1.839013
dully,0.788975
dummy,5.209919
dumpy,0.309435
dunce,0.359292
dusky,1.805892
dusty,6.763745
dutch,40.589105
duvet,0.18113
dwarf,5.35332
dwell,9.859549
dwelt,4.079063
dying,35.881064
eager,22.466565
eagle,12.81868
early,456.549549
earth,156.686361
easel,1.230352
eaten,18.34707
eater,1.736316
ebony,1.909521
eclat,0.289569
edict,3.566386
edify,0.251824
eerie,2.586499
egret,0.359789
eight,122.57583
eject,0.948848
eking,0.184168
elate,0.123713
elbow,13.0205
elder,20.060707
elect,10.516746
elegy,1.961475
elfin,0.375561
elide,0.144885
elite,27.778987
elope,0.332907
elude,1.57642
email,7.476875
embed,1.129636
ember,0.620191
emcee,0.179195
empty,59.49083
enact,3.800146
endow,1.305366
enema,1.867441
enemy,75.472186
enjoy,51.481443
ennui,0.781524
ensue,2.655158
enter,91.044371
entry,65.857151
envoy,3.212781
epoch,7.311921
epoxy,3.650879
equal,137.985423
equip,2.603856
erase,3.999434
erect,9.612285
erode,1.992134
error,91.530313
erupt,1.638778
essay,41.574384
ester,4.618203
ether,9.557736
ethic,7.960066
ethos,5.528273
etude,2.587517
evade,3.372576
event,115.139979
every,29.420585
evict,0.556
evoke,5.907261
exact,45.46123
exalt,1.205839
excel,7.207025
exert,11.906994
exile,17.649697
exist,105.022568
expel,2.692887
extol,0.65698
extra,55.73483
exult,0.398349
eying,0.223676
fable,3.992744
facet,5.393822
faint,16.34064
fairy,11.042787
faith,122.276177
false,69.924831
fancy,19.429444
fanny,6.440845
farce,3.409613
fatal,21.704923
fatty,17.303194
fault,39.948146
fauna,6.932366
favor,46.091972
feast,15.679714
fecal,3.230511
feign,0.698212
fella,1.098869
felon,0.625785
femme,2.138884
femur,4.173788
fence,16.559134
feral,1.012713
ferry,9.254011
fetal,21.009539
fetch,7.98301
fetid,0.603704
fetus,11.119906
fever,35.76564
fewer,36.320482
fiber,27.773082
fibre,10.004535
ficus,0.458291
field,295.826406
fiend,1.333227
fiery,6.59444
fifth,53.337836
fifty,64.446205
fight,82.106158
filer,0.302435
filet,0.424843
filly,0.495732
filmy,0.403873
filth,2.757249
final,169.617955
finch,2.698123
finer,8.052546
first,1485.999258
fishy,0.669294
fixer,0.681787
fizzy,0.150813
fjord,1.038679
flack,0.400688
flail,0.664034
flair,2.078795
flake,2.427574
flaky,0.538487
flame,21.188921
flank,7.630143
flare,4.38393
flash,21.262156
flask,5.855485
fleck,0.581072
fleet,27.651559
flesh,36.088905
flick,1.809465
flier,0.682091
fling,2.19139
flint,6.985432
flirt,1.196415
float,10.795632
flock,8.084829
flood,24.719031
floor,115.632805
flora,11.092519
floss,1.055274
flour,15.978971
flout,0.401682
flown,6.138177
fluff,0.751915
fluid,74.263729
fluke,0.955126
flume,0.630913
flung,9.077737
flunk,0.211951
flush,7.917295
flute,5.410356
flyer,1.554021
foamy,0.639024
focal,17.865673
focus,116.093752
foggy,1.478501
foist,0.223046
folio,4.041731
folly,8.637379
foray,0.994882
force,261.182291
forge,5.603878
forgo,1.313524
forte,2.07846
forth,71.232536
forty,61.630475
forum,18.093334
found,675.944541
foyer,2.131549
frail,5.145448
frame,65.713493
frank,57.868135
fraud,11.924467
freak,2.441365
freed,13.662889
freer,3.313443
fresh,70.788161
friar,2.783867
fried,6.875998
frill,0.347902
frisk,0.297424
fritz,5.676095
frock,1.622858
frond,0.464359
front,192.219671
frost,12.2112
froth,1.218231
frown,3.943804
froze,4.060976
fruit,49.643122
fudge,0.983306
fugue,1.49944
fully,112.061524
fungi,8.75511
funky,0.609625
funny,20.905972
furor,0.960844
furry,1.176082
fussy,1.132355
fuzzy,10.049008
gaffe,0.213521
gaily,2.053373
gamer,0.240986
gamma,11.418519
gamut,1.789529
gassy,0.139804
gaudy,1.436251
gauge,14.66979
gaunt,2.577215
gauze,3.40722
gavel,0.617775
gawky,0.202527
gayer,0.30806
gayly,0.336364
gazer,0.114343
gecko,0.283547
geeky,0.062156
geese,3.772269
genie,1.493154
genre,14.998874
ghost,18.79108
ghoul,0.253433
giant,27.361921
giddy,1.617202
gipsy,0.724558
girly,0.135966
girth,1.260218
given,569.167298
giver,3.062294
glade,1.007453
gland,18.593829
glare,5.518157
glass,99.514939
glaze,3.782075
gleam,3.330528
glean,0.815749
glide,3.35884
glint,1.323725
gloat,0.375794
globe,16.250965
gloom,6.30352
glory,33.190119
gloss,4.122028
glove,4.509516
glyph,0.738318
gnash,0.106838
gnome,0.8472
godly,2.854764
going,389.242621
golem,0.467909
golly,0.447149
gonad,0.757454
goner,0.182218
goody,1.340942
gooey,0.295567
goofy,0.551019
goose,6.133492
gorge,4.0177
gouge,0.777803
gourd,1.78559
grace,53.057055
grade,55.596665
graft,12.517714
grail,2.216625
grain,44.974418
grand,61.818023
grant,61.65836
grape,4.431479
graph,25.315222
grasp,22.287999
grass,43.20878
grate,2.005761
grave,36.924948
gravy,1.71244
graze,1.844257
great,682.398789
greed,7.074897
green,127.626646
greet,6.892695
grief,23.779204
grill,3.418805
grime,0.905331
grimy,1.053899
grind,3.879488
gripe,0.407603
groan,2.884435
groin,2.760186
groom,5.117112
grope,0.70104
gross,39.963716
group,531.393829
grout,1.461323
grove,12.900128
growl,1.655723
grown,60.383132
gruel,0.839244
gruff,1.143163
grunt,1.631055
guard,49.166503
guava,0.432659
guess,47.529038
guest,21.851541
guide,84.752249
guild,6.841502
guile,1.07678
guilt,28.518921
guise,5.102684
gulch,1.001191
gully,2.018581
gumbo,0.380844
gummy,0.389088
guppy,0.288465
gusto,1.489207
gusty,0.410959
gypsy,3.820642
habit,31.53975
hairy,4.243232
halve,0.429559
handy,7.542612
happy,96.059687
hardy,11.491233
harem,1.884899
harpy,0.239619
harry,35.726661
harsh,17.277228
haste,7.463371
hasty,5.140918
hatch,7.106845
hater,0.66074
haunt,3.470177
haute,1.64741
haven,22.506042
havoc,3.351754
hazel,4.267216
heady,1.894704
heard,196.782065
heart,251.584472
heath,8.057488
heave,1.940366
heavy,116.349912
hedge,6.755571
hefty,1.247367
heist,0.254116
helix,4.329722
hello,12.931291
hence,117.956478
heron,2.137167
hilly,2.603903
hinge,4.167402
hippo,0.863376
hippy,0.293469
hitch,2.717726
hoard,2.282604
hobby,4.191386
hoist,2.009188
holly,4.679854
homer,10.110682
honey,18.281402
honor,43.011683
horde,1.852648
horny,1.41065
horse,75.732682
hotel,59.656763
hotly,2.158945
hound,2.679111
house,462.583204
hovel,0.583208
hover,1.772125
howdy,0.452681
human,499.613001
humid,4.64204
humor,20.768001
humph,0.47306
humus,1.876462
hunch,1.624163
hunky,0.138911
hurry,16.992826
husky,1.891045
hussy,0.283975
hutch,0.633143
hydro,3.185511
hyena,0.857735
hymen,0.768992
hyper,2.488091
icily,0.337545
icing,1.582496
ideal,76.254247
idiom,4.492967
idiot,5.113958
idler,0.795183
idyll,0.930217
igloo,0.368895
iliac,4.309661
image,158.528707
imbue,0.427003
impel,0.610324
imply,23.932324
inane,0.590154
inbox,0.407268
incur,3.399684
index,100.013265
inept,1.872227
inert,6.598542
infer,7.012873
ingot,1.080688
inlay,0.947045
inlet,8.67224
inner,75.044135
input,85.711819
inter,30.627426
intro,1.926676
ionic,9.479886
irate,1.102109
irony,13.572421
islet,2.298904
issue,177.500148
itchy,0.796582
ivory,8.855794
jaunt,0.44293
jazzy,0.241025
jelly,4.310345
jerky,1.250692
jetty,1.205256
jewel,4.900631
jiffy,0.278761
joint,97.221403
joist,0.71003
joker,0.845063
jolly,4.511745
joust,0.283943
judge,77.413314
juice,17.828465
juicy,1.654876
jumbo,1.176501
jumpy,0.56293
junta,2.785002
junto,0.402444
juror,1.276945
kappa,2.634895
karma,5.854762
kayak,0.867898
kebab,0.14487
khaki,1.778745
kinky,0.562021
kiosk,0.786155
kitty,4.536918
knack,1.69882
knave,0.913334
knead,0.678618
kneed,0.336046
kneel,2.471946
knelt,5.53365
knife,25.678072
knock,12.065243
knoll,1.714033
known,375.65658
koala,0.252469
krill,0.505684
label,27.219165
labor,169.172251
laden,8.427424
ladle,1.128525
lager,0.709268
lance,6.561055
lanky,0.867051
lapel,0.7326
lapse,5.556267
large,539.061087
larva,3.058619
lasso,0.766925
latch,2.928916
later,481.362902
lathe,1.801642
latte,0.286096
laugh,33.100017
layer,82.299408
leach,3.035622
leafy,2.278765
leaky,1.359007
leant,1.067457
leapt,3.360728
learn,131.15002
lease,14.772355
leash,1.781301
least,340.807475
leave,182.275419
ledge,4.338742
leech,1.727536
leery,0.411798
lefty,0.687459
legal,137.394087
leggy,0.170253
lemon,8.940233
lemur,0.272336
leper,1.233988
level,415.713577
lever,8.333468
libel,3.490198
liege,1.884721
light,340.001663
liken,0.504535
lilac,1.571991
limbo,1.593552
limit,74.0021
linen,9.281507
liner,4.083678
lingo,0.907382
lipid,13.674092
lithe,0.866756
liver,54.094102
livid,1.216281
llama,0.665402
loamy,0.549054
loath,1.36178
lobby,10.242833
local,337.172111
locus,12.747869
lodge,16.838664
lofty,7.11735
logic,64.83642
login,2.551661
loopy,0.133503
loose,36.390104
lorry,1.989663
loser,2.707796
louse,1.1074
lousy,2.337394
lover,22.42179
lower,239.855493
lowly,2.987769
loyal,16.486738
lucid,3.31516
lucky,21.675135
lumen,7.024722
lumpy,1.023963
lunar,6.233424
lunch,32.857314
lunge,0.825469
lupus,4.856454
lurch,1.03439
lurid,1.462566
lusty,1.107011
lying,48.012432
lymph,13.279589
lynch,6.010338
lyric,6.18345
macaw,0.252236
macho,1.561316
macro,11.84396
madam,7.350535
madly,1.949914
mafia,2.717283
magic,34.98654
magma,2.380087
maize,9.563571
major,328.654103
maker,14.313816
mambo,0.406934
mamma,3.913278
mammy,1.09653
manga,0.586386
mange,0.540453
mango,2.362404
mangy,0.340443
mania,4.065249
manic,3.924101
manly,4.210686
manor,6.226042
maple,5.288289
march,179.902371
marry,34.253769
marsh,11.112098
mason,14.148536
masse,2.25778
match,43.042194
matey,0.125889
mauve,1.009597
maxim,4.95595
maybe,95.518154
mayor,22.011647
mealy,0.454755
meant,109.682353
meaty,0.519304
mecca,4.254109
medal,7.556931
media,101.955154
medic,0.937683
melee,0.902573
melon,1.620574
mercy,23.406136
merge,7.263688
merit,23.111106
merry,8.623564
metal,82.69761
meter,15.814973
metro,4.412032
micro,14.307305
midge,0.673062
midst,20.535352
might,15.447166
milky,3.202603
mimic,4.233901
mince,0.871759
miner,4.490022
minim,0.324446
minor,66.198293
minty,0.22676
minus,6.893783
mirth,2.433697
miser,0.999528
missy,1.124702
mocha,0.384978
modal,6.419145
model,313.643978
modem,11.886599
mogul,1.041678
moist,10.064391
molar,7.02396
moldy,0.520377
money,279.58642
month,101.866768
moody,4.599851
moose,3.105182
moral,138.056234
moron,0.681368
morph,0.747354
mossy,1.100104
motel,4.191402
motif,9.486016
motor,69.198696
motto,5.136878
moult,0.543685
mound,8.533827
mount,31.73683
mourn,3.057936
mouse,29.572299
mouth,97.204901
mover,2.534576
movie,31.379481
mower,1.117368
mucky,0.141894
mucus,5.222583
muddy,6.144603
mulch,1.15383
mummy,2.999696
munch,1.141003
mural,3.3393
murky,1.908666
mushy,0.563746
music,164.941567
musky,0.336038
musty,1.23419
myrrh,0.660243
nadir,1.625865
naive,10.853149
nanny,1.952696
nasal,14.962762
nasty,6.707595
natal,6.090597
naval,33.900304
navel,1.966308
needy,4.799457
neigh,0.39542
nerdy,0.103754
nerve,63.196795
never,28.82493
newer,10.737244
newly,37.689977
nicer,1.615928
niche,6.231225
niece,5.321147
night,285.70825
ninja,0.331407
ninny,0.18444
ninth,14.583572
noble,34.331091
nobly,1.501771
noise,62.345524
noisy,8.37418
nomad,1.134709
noose,1.408638
north,266.969544
nosey,0.188861
notch,5.735112
novel,79.4967
nudge,0.974837
nurse,48.301861
nutty,0.547741
nylon,4.774408
nymph,1.707949
oaken,0.41496
obese,4.743991
occur,163.175253
ocean,48.642871
octal,0.683365
octet,0.723556
odder,0.221702
oddly,5.227594
offal,0.455696
offer,114.840014
often,593.17863
olden,1.520806
older,113.807606
olive,13.174911
ombre,0.286437
omega,2.860397
onion,6.850647
onset,29.5654
opera,26.57192
opine,0.215766
opium,7.333465
optic,12.5829
orbit,14.478583
order,513.882662
organ,33.675339
other,2162.910501
otter,2.460742
ought,61.059294
ounce,5.327378
outdo,0.73598
outer,44.394193
outgo,0.154356
ovary,5.715572
ovate,0.719058
overt,10.735744
ovine,0.450443
ovoid,1.194457
owing,23.131656
owner,44.533663
oxide,21.060468
ozone,7.196761
paddy,5.762624
pagan,10.432354
paint,31.543549
paler,1.551231
palsy,4.634037
panel,35.608487
panic,19.023458
pansy,0.63127
papal,7.690465
paper,224.109529
parer,0.110715
parka,0.56819
parry,3.512077
parse,1.425109
party,288.723702
pasta,3.180608
paste,10.38691
pasty,0.580792
patch,14.831613
patio,3.466665
patsy,1.623324
patty,2.743746
pause,20.012318
payee,0.632568
payer,1.142028
peace,141.600531
peach,4.00965
pearl,14.358832
pecan,0.744534
pedal,3.468226
penal,6.783806
pence,2.132847
penne,0.132594
penny,10.122546
perch,3.318182
peril,6.023414
perky,0.386244
pesky,0.42172
pesto,0.251079
petal,1.239621
petty,12.63539
phase,146.677731
phone,62.218602
phony,1.811439
photo,31.15652
piano,21.31042
picky,0.393198
piece,94.132623
piety,8.976213
piggy,0.622817
pilot,28.824098
pinch,5.294769
piney,0.385024
pinky,0.657756
pinto,1.882335
piper,3.299093
pique,0.837744
pitch,23.268764
pithy,0.635435
pivot,4.07047
pixel,5.474594
pixie,0.319046
pizza,4.290735
place,592.798796
plaid,1.380349
plain,54.460379
plait,0.587645
plane,74.055608
plank,4.254576
plant,127.86161
plate,81.499043
plaza,8.3336
plead,4.868924
pleat,0.230715
plied,1.304744
plier,0.083802
pluck,2.351931
plumb,1.940335
plume,3.573938
plump,3.420118
plunk,0.152554
plush,1.391133
poesy,0.489951
point,538.816745
poise,2.002156
poker,4.088417
polar,15.080213
polka,0.827341
polyp,1.272276
pooch,0.162716
poppy,2.10699
porch,13.652998
poser,0.403865
posit,1.919272
posse,1.62825
pouch,4.722796
pound,23.616021
pouty,0.094391
power,547.875315
prank,0.812462
prawn,0.539598
preen,0.200499
press,515.076016
price,181.851384
prick,2.124712
pride,39.632713
pried,0.780134
prime,59.393665
primo,1.724856
print,48.815983
prior,93.90873
prism,4.541518
privy,5.772989
prize,22.715095
probe,17.302044
prone,13.940407
prong,0.701646
proof,53.818223
prose,22.22819
proud,33.322092
prove,65.365327
prowl,0.635893
proxy,6.166435
prude,0.305527
prune,1.404
psalm,8.558612
pubic,2.549951
pudgy,0.513866
puffy,1.192242
pulpy,0.263564
pulse,34.28233
punch,10.950221
pupal,0.515117
pupil,20.284833
puppy,3.718738
puree,1.079981
purer,1.573996
purge,4.289227
purse,9.232241
pushy,0.549939
putty,1.109179
pygmy,0.713565
quack,1.021671
quail,2.123197
quake,1.077106
qualm,0.245213
quark,1.990852
quart,4.871193
quash,0.414393
quasi,12.768792
queen,54.128785
queer,7.867679
quell,1.431371
query,17.387881
quest,19.268795
queue,7.723004
quick,56.790671
quiet,59.888177
quill,1.673888
quilt,4.164644
quirk,1.18431
quite,288.38963
quota,7.376066
quote,15.684205
quoth,1.027118
rabbi,13.27917
rabid,1.075584
racer,0.710581
radar,11.94163
radii,2.897542
radio,76.583797
rainy,6.66076
raise,55.996957
rajah,1.307114
rally,6.975976
ralph,18.105695
ramen,0.08266
ranch,11.967805
randy,3.732132
range,215.76105
rapid,76.480719
rarer,1.976999
raspy,0.435689
ratio,88.173998
ratty,0.280222
raven,7.920636
rayon,1.695433
razor,4.140022
reach,101.657194
react,19.787524
ready,123.534203
realm,27.709916
rearm,0.235205
rebar,0.254186
rebel,12.436484
rebus,0.942819
rebut,0.56335
recap,0.540616
recur,3.788951
recut,0.138911
reedy,0.681508
refer,64.501089
refit,0.410345
regal,2.250826
rehab,0.929471
reign,25.256897
relax,14.01337
relay,8.159688
relic,2.822015
remit,1.566972
renal,43.642255
renew,5.84
repay,4.900989
repel,2.312897
reply,44.091657
rerun,0.582727
reset,5.376527
resin,11.231733
retch,0.170027
retro,0.872264
retry,0.373207
reuse,4.242704
revel,1.500287
revue,7.504107
rhino,0.842515
rhyme,5.906616
rider,7.428525
ridge,24.266467
rifle,14.747213
right,658.683101
rigid,27.082841
rigor,2.740343
rinse,4.194634
ripen,1.29438
riper,0.382266
risen,14.727276
riser,1.157163
risky,7.829858
rival,17.972231
river,173.485953
rivet,1.342605
roach,1.789498
roast,4.464833
robin,12.071901
robot,9.344262
rocky,14.522605
rodeo,1.429406
roger,22.212495
rogue,2.792002
roomy,0.669154
roost,1.390589
rotor,7.312667
rouge,6.247168
rough,38.685706
round,121.961645
rouse,3.463891
route,55.43959
rover,2.284857
rowdy,1.082599
rower,0.190376
royal,85.490629
ruddy,1.82199
ruder,0.287113
rugby,2.377803
ruler,19.35356
rumba,0.254054
rumor,5.085957
rupee,1.791976
rural,92.99674
rusty,4.319373
sadly,10.300871
safer,8.668068
saint,38.976269
salad,7.667538
sally,11.486541
salon,4.696939
salsa,1.025206
salty,2.458062
salve,1.106506
salvo,0.817155
sandy,16.29557
saner,0.329341
sappy,0.162033
sassy,0.42325
satin,3.79334
satyr,0.783917
sauce,11.414968
saucy,0.621978
sauna,1.048561
saute,1.545218
savor,1.28616
savoy,2.153125
savvy,1.66026
scald,0.393594
scale,151.386091
scalp,6.227728
scaly,1.193004
scamp,0.334297
scant,4.317027
scare,5.425708
scarf,3.65791
scary,3.378163
scene,94.2922
scent,8.38954
scion,0.899644
scoff,0.632451
scold,1.282042
scone,0.286904
scoop,2.56023
scope,52.587437
score,43.949064
scorn,5.888645
scour,1.206212
scout,5.629082
